"","primeiraCartaRobo","primeiraCartaHumano","segundaCartaRobo","segundaCartaHumano","terceiraCartaRobo","terceiraCartaHumano","results.cluster"
"1",24,6,6,7,-15,0,1
"2",2,2,16,16,-50,3,2
"3",16,1,7,0,-50,0,2
"4",7,2,-50,0,-50,0,3
"5",7,12,8,2,52,24,4
"6",24,16,8,24,40,1,4
"7",2,6,24,8,2,0,4
"8",2,7,24,16,6,4,4
"9",6,12,-15,0,-15,0,1
"10",1,7,2,3,-15,0,1
"11",8,1,4,7,-10,50,4
"12",7,6,24,40,1,50,4
"13",8,12,-10,40,-10,0,1
"14",12,7,7,24,2,4,4
"15",16,3,24,40,2,8,4
"16",7,12,42,16,8,1,4
"17",24,8,-1,16,16,24,4
"18",6,16,4,3,2,3,1
"19",24,12,3,2,-50,0,2
"20",2,42,16,16,-15,0,1
"21",40,7,8,24,3,7,4
"22",8,3,42,3,-50,0,2
"23",50,16,52,24,-50,0,2
"24",24,12,40,-1,-50,0,2
"25",1,2,16,7,2,16,4
"26",50,0,-15,0,-15,0,1
"27",8,8,52,42,-50,0,2
"28",8,8,24,42,-15,0,4
"29",3,1,7,8,-15,0,1
"30",8,0,-15,0,-15,0,1
"31",50,24,12,40,6,3,4
"32",7,0,-15,0,-15,0,1
"33",16,16,50,8,-50,0,2
"34",16,0,-15,0,-15,0,1
"35",7,12,-15,0,-15,0,1
"36",-50,12,-50,0,-50,0,3
"37",8,16,-15,0,-15,0,1
"38",-50,0,-50,0,-50,0,3
"39",-50,2,-50,0,-50,0,3
"40",-50,0,-50,0,-50,0,3
"41",2,42,3,1,-50,0,2
"42",24,6,-50,0,-50,0,3
"43",2,24,-10,16,-10,0,1
"44",16,3,12,12,-50,0,2
"45",16,12,-50,0,-50,0,3
"46",52,3,40,50,3,16,4
"47",16,16,3,8,-15,0,1
"48",-50,0,-50,0,-50,0,3
"49",24,8,-50,0,-50,0,3
"50",40,2,4,0,-15,0,1
"51",24,16,-50,0,-50,0,3
"52",-10,0,-10,0,-10,0,1
"53",-15,0,-15,0,-15,0,1
"54",24,0,-15,0,-15,0,1
"55",-10,52,-10,0,-10,0,1
"56",7,12,-15,0,-15,0,1
"57",2,40,24,16,3,6,4
"58",8,0,-50,0,-50,0,3
"59",1,24,8,7,52,6,4
"60",6,8,7,12,-15,0,1
"61",52,50,16,0,-50,0,2
"62",2,6,-15,0,-15,0,1
"63",1,12,-10,8,-10,0,1
"64",24,6,-50,0,-50,0,3
"65",-15,0,-15,0,-15,0,1
"66",1,3,-15,0,-15,0,1
"67",7,52,12,8,-50,0,2
"68",24,24,42,3,-50,0,2
"69",-15,0,-15,0,-15,0,1
"70",16,24,-10,50,-10,0,1
"71",7,52,40,24,8,8,4
"72",2,0,-50,0,-50,0,3
"73",-50,24,-50,0,-50,0,3
"74",8,24,-15,0,-15,0,1
"75",16,12,24,0,-50,0,2
"76",16,24,-15,0,-15,0,1
"77",8,24,-15,0,-15,0,1
"78",52,3,16,24,6,8,4
"79",4,42,24,16,8,6,4
"80",7,24,-10,24,-10,0,1
"81",16,16,24,42,-15,0,4
"82",7,0,-15,0,-15,0,1
"83",-50,0,-50,0,-50,0,3
"84",7,0,-15,0,-15,0,1
"85",-50,0,-50,0,-50,0,3
"86",24,3,2,8,42,8,4
"87",-50,0,-50,0,-50,0,3
"88",6,40,2,1,16,0,4
"89",16,7,3,12,-50,2,2
"90",6,16,50,40,16,0,4
"91",7,24,8,6,12,0,4
"92",8,16,50,8,3,2,4
"93",24,24,52,1,-50,0,2
"94",24,16,7,16,50,3,4
"95",2,3,16,12,-50,0,2
"96",7,3,2,0,-50,0,2
"97",7,3,16,40,-50,3,2
"98",2,24,7,3,-50,0,2
"99",2,4,-15,0,-15,0,1
"100",-50,0,-50,0,-50,0,3
"101",6,16,8,1,-50,0,2
"102",8,6,-50,0,-50,0,3
"103",7,16,8,1,8,42,4
"104",24,24,52,12,-50,0,2
"105",8,3,52,0,-50,0,2
"106",3,8,6,3,7,0,1
"107",7,8,50,6,1,4,4
"108",3,8,6,1,16,0,4
"109",-50,0,-50,0,-50,0,3
"110",16,4,50,52,-10,24,4
"111",16,12,7,52,-50,2,2
"112",3,24,-15,0,-15,0,1
"113",-10,0,-10,0,-10,0,1
"114",8,7,-50,0,-50,0,3
"115",3,4,6,2,52,0,4
"116",-10,6,-10,0,-10,0,1
"117",52,7,3,7,1,42,4
"118",8,6,7,16,6,1,4
"119",-50,0,-50,0,-50,0,3
"120",2,7,7,2,3,3,1
"121",6,7,7,4,16,7,4
"122",16,1,16,6,-50,0,2
"123",2,3,16,8,6,8,4
"124",40,7,2,16,16,24,4
"125",3,7,8,6,24,0,4
"126",2,1,16,4,-50,0,2
"127",3,1,8,12,40,24,4
"128",4,7,12,7,16,8,4
"129",7,8,40,7,24,0,4
"130",7,3,8,52,16,6,4
"131",6,7,50,42,16,12,4
"132",6,3,6,0,-15,0,1
"133",8,1,16,4,-50,0,2
"134",50,4,1,7,12,24,4
"135",3,6,40,1,24,24,4
"136",7,4,3,6,16,24,4
"137",1,4,12,7,4,16,4
"138",3,1,6,12,24,24,4
"139",1,6,8,7,50,52,4
"140",24,12,8,16,24,16,4
"141",-50,0,-50,0,-50,0,3
"142",16,6,12,16,16,42,4
"143",6,7,8,3,-50,0,2
"144",8,8,4,16,-15,0,1
"145",7,6,16,42,24,1,4
"146",3,1,-50,0,-50,0,3
"147",-50,0,-50,0,-50,0,3
"148",16,1,42,40,-50,0,2
"149",16,16,42,2,-50,0,2
"150",24,6,4,7,12,8,4
"151",7,50,12,3,42,16,4
"152",-50,0,-50,0,-50,0,3
"153",24,3,2,7,52,8,4
"154",3,8,8,7,7,3,4
"155",6,16,-15,0,-15,0,1
"156",-50,16,-50,0,-50,0,3
"157",8,12,-15,0,-15,0,1
"158",1,16,6,3,8,50,4
"159",7,2,52,0,-50,0,2
"160",24,16,16,0,-50,0,2
"161",4,7,7,2,2,0,1
"162",3,16,16,8,16,42,4
"163",3,8,-10,24,-10,0,1
"164",7,6,1,12,-50,1,2
"165",8,7,1,52,8,24,4
"166",8,7,3,16,-50,3,2
"167",8,4,3,7,42,40,4
"168",24,1,-50,0,-50,0,3
"169",3,6,-10,8,-10,0,1
"170",16,7,2,3,-50,1,2
"171",6,8,16,8,24,24,4
"172",-50,7,-50,0,-50,0,3
"173",7,7,24,1,-50,0,2
"174",6,16,-10,16,-10,0,1
"175",4,3,6,24,-10,40,4
"176",3,1,7,42,-50,2,2
"177",7,24,4,3,8,50,4
"178",8,7,2,8,-15,0,1
"179",8,12,-15,0,-15,0,1
"180",3,1,24,52,40,8,4
"181",6,7,3,2,7,50,4
"182",24,8,4,16,52,40,4
"183",1,4,8,8,-15,0,1
"184",16,12,7,24,12,42,4
"185",8,8,-50,0,-50,0,3
"186",1,8,52,42,3,4,4
"187",16,4,1,7,8,0,1
"188",4,1,6,40,-50,0,2
"189",3,4,24,12,6,16,4
"190",12,6,2,6,24,52,4
"191",16,3,6,8,-50,3,2
"192",1,24,-15,0,-15,0,1
"193",-50,0,-50,0,-50,0,3
"194",3,16,-15,0,-15,0,1
"195",-10,0,-10,0,-10,0,1
"196",3,24,16,12,7,6,4
"197",16,24,-15,0,-15,0,1
"198",42,24,4,0,-15,0,1
"199",-10,0,-10,0,-10,0,1
"200",42,24,12,16,50,6,4
"201",24,2,16,0,-50,0,2
"202",6,8,8,1,50,12,4
"203",2,16,6,3,7,24,4
"204",2,6,12,7,7,0,4
"205",40,24,3,42,8,1,4
"206",-10,0,-10,0,-10,0,1
"207",4,16,7,6,7,0,1
"208",24,6,16,24,6,7,4
"209",4,16,8,3,-50,0,2
"210",1,0,-15,0,-15,0,1
"211",3,24,2,2,-15,0,1
"212",16,24,8,1,1,0,1
"213",12,6,3,12,-15,0,1
"214",16,16,12,0,-15,0,1
"215",16,8,40,52,42,7,4
"216",24,2,12,52,-10,6,4
"217",24,16,2,8,52,16,4
"218",16,2,1,2,-50,0,2
"219",2,16,8,6,4,0,1
"220",24,2,8,24,-10,7,1
"221",-50,0,-50,0,-50,0,3
"222",24,40,-50,8,-50,0,3
"223",4,16,8,7,-50,0,2
"224",12,1,-50,0,-50,0,3
"225",4,16,-10,16,-10,0,1
"226",16,24,8,6,50,12,4
"227",6,7,-15,0,-15,0,1
"228",8,3,-50,0,-50,0,3
"229",3,8,-15,0,-15,0,1
"230",16,7,2,7,-15,0,1
"231",24,12,7,16,-10,24,4
"232",3,24,-15,0,-15,0,1
"233",16,4,3,7,52,16,4
"234",4,2,6,7,24,6,4
"235",12,16,-15,0,-15,0,1
"236",-50,0,-50,0,-50,0,3
"237",-10,0,-10,0,-10,0,1
"238",1,24,-10,6,-10,0,1
"239",24,0,-50,0,-50,0,3
"240",8,7,6,0,-50,0,2
"241",24,4,7,8,8,42,4
"242",8,24,8,7,-50,0,2
"243",24,6,6,16,-10,52,4
"244",6,2,-50,0,-50,0,3
"245",8,8,6,0,-15,0,1
"246",7,7,-15,0,-15,0,1
"247",2,1,4,7,16,8,4
"248",1,4,-10,7,-10,0,1
"249",6,24,7,6,16,8,4
"250",24,1,4,6,-15,0,1
"251",3,1,-50,0,-50,0,3
"252",24,6,7,12,-15,0,1
"253",1,12,2,1,50,42,4
"254",24,0,-50,0,-50,0,3
"255",4,8,-15,0,-15,0,1
"256",24,1,3,6,8,6,4
"257",16,7,1,3,-15,0,1
"258",24,3,1,7,-50,16,2
"259",-10,12,-10,0,-10,0,1
"260",24,42,3,-1,6,0,1
"261",6,2,12,50,-50,3,2
"262",-10,0,-10,0,-10,0,1
"263",24,6,8,0,-15,0,1
"264",16,8,3,0,-50,0,2
"265",24,1,4,24,-50,3,2
"266",4,16,12,8,-15,0,1
"267",1,8,-10,8,-10,0,1
"268",2,16,7,2,50,0,4
"269",40,6,2,6,-50,8,2
"270",2,42,3,2,-50,0,2
"271",16,24,-10,8,-10,0,1
"272",4,8,7,6,-50,0,2
"273",16,24,-15,0,-15,0,1
"274",24,7,-50,0,-50,0,3
"275",16,7,3,8,8,16,4
"276",8,24,-50,7,-50,0,3
"277",24,1,1,8,8,16,4
"278",24,16,8,0,-50,0,2
"279",12,2,4,6,-15,0,1
"280",4,24,-15,0,-15,0,1
"281",24,7,4,8,42,16,4
"282",1,24,-10,6,-10,0,1
"283",12,24,8,1,-10,0,1
"284",6,24,-50,3,-50,0,3
"285",6,7,-10,2,-10,0,1
"286",24,7,2,3,24,1,4
"287",3,24,-50,12,-50,0,3
"288",16,7,2,8,-15,0,1
"289",7,12,-50,6,-50,0,3
"290",24,1,3,4,-50,1,2
"291",3,16,-10,6,-10,0,1
"292",16,1,2,4,12,7,4
"293",3,42,40,16,-15,0,4
"294",8,16,-15,0,-15,0,1
"295",24,8,3,7,-50,0,2
"296",7,7,-50,0,-50,0,3
"297",8,16,-10,8,-10,0,1
"298",1,12,7,1,8,0,1
"299",24,1,12,0,-50,0,2
"300",40,24,1,4,12,16,4
"301",24,40,-10,16,-10,0,1
"302",6,16,6,2,-50,0,2
"303",24,42,16,8,-50,0,2
"304",4,16,6,2,6,0,1
"305",12,3,2,3,40,52,4
"306",40,24,6,7,-15,0,1
"307",6,7,-10,2,-10,0,1
"308",16,7,7,0,-50,0,2
"309",16,3,7,8,-15,0,1
"310",7,3,3,4,-15,0,1
"311",16,2,6,0,-50,0,2
"312",-50,0,-50,0,-50,0,3
"313",16,24,8,7,-50,0,2
"314",8,24,8,7,12,0,4
"315",24,1,4,0,-50,0,2
"316",3,24,7,1,16,12,4
"317",2,0,-15,0,-15,0,1
"318",-10,8,-10,0,-10,0,1
"319",12,24,3,1,-15,0,1
"320",16,7,-50,0,-50,0,3
"321",16,8,4,0,-15,0,1
"322",2,24,6,2,-50,0,2
"323",16,1,6,0,-50,0,2
"324",2,1,1,7,-15,0,1
"325",3,7,-15,0,-15,0,1
"326",4,24,7,7,-15,0,1
"327",24,8,6,0,-15,0,1
"328",24,16,7,24,-10,50,4
"329",2,24,3,2,-50,0,2
"330",-10,0,-10,0,-10,0,1
"331",6,24,16,1,16,50,4
"332",16,6,-50,0,-50,0,3
"333",40,24,6,7,-10,42,4
"334",24,0,-50,0,-50,0,3
"335",-50,0,-50,0,-50,0,3
"336",24,42,-15,0,-15,0,1
"337",7,24,-10,16,-10,0,1
"338",-10,0,-10,0,-10,0,1
"339",2,24,16,12,52,24,4
"340",24,1,4,0,-50,0,2
"341",24,12,2,4,-15,0,1
"342",24,2,12,50,24,7,4
"343",1,24,-10,16,-10,0,1
"344",24,24,7,0,-15,0,1
"345",3,40,6,3,16,16,4
"346",16,42,-50,2,-50,0,3
"347",3,12,7,1,-50,0,2
"348",24,2,8,12,52,16,4
"349",7,6,3,8,-15,0,1
"350",24,2,4,7,40,16,4
"351",7,3,7,0,-50,0,2
"352",3,6,-10,2,-10,0,1
"353",7,24,24,8,8,6,4
"354",24,24,8,0,-15,0,1
"355",3,2,6,0,-50,0,2
"356",12,1,1,2,-15,0,1
"357",40,7,12,0,-50,0,2
"358",2,24,7,4,7,16,4
"359",24,2,12,16,52,6,4
"360",24,16,-50,0,-50,0,3
"361",24,8,7,8,50,24,4
"362",-50,0,-50,0,-50,0,3
"363",1,2,3,2,2,16,1
"364",1,40,7,6,3,52,4
"365",42,6,8,24,3,7,4
"366",-50,0,-50,0,-50,0,3
"367",4,1,16,3,-50,0,2
"368",3,6,16,3,1,0,1
"369",8,6,2,40,1,7,4
"370",3,50,3,16,-15,0,1
"371",3,2,50,4,-50,0,2
"372",1,2,12,8,3,4,4
"373",6,2,8,24,-50,6,2
"374",6,8,24,2,1,50,4
"375",12,8,42,16,-50,0,2
"376",2,4,52,6,3,16,4
"377",7,3,12,52,24,24,4
"378",40,7,52,8,-50,0,2
"379",3,1,16,12,-50,0,2
"380",7,12,7,1,8,2,4
"381",3,1,1,2,3,1,1
"382",7,24,-50,16,-50,0,3
"383",7,24,6,3,40,1,4
"384",-15,0,-15,0,-15,0,1
"385",6,8,42,16,2,3,4
"386",-10,24,-10,0,-10,0,1
"387",24,24,50,6,-50,0,2
"388",2,50,8,7,24,3,4
"389",-10,0,-10,0,-10,0,1
"390",-50,6,-50,0,-50,0,3
"391",24,42,8,7,16,1,4
"392",50,24,16,40,8,3,4
"393",3,2,-50,0,-50,0,3
"394",-10,0,-10,0,-10,0,1
"395",16,4,8,0,-50,0,2
"396",12,7,52,0,-50,0,2
"397",24,40,42,16,1,6,4
"398",40,24,42,52,6,6,4
"399",-50,0,-50,0,-50,0,3
"400",8,6,-50,0,-50,0,3
"401",-50,0,-50,0,-50,0,3
"402",-50,2,-50,0,-50,0,3
"403",-50,24,-50,0,-50,0,3
"404",7,2,6,3,-50,0,2
"405",52,24,8,12,2,4,4
"406",-50,0,-50,0,-50,0,3
"407",-15,0,-15,0,-15,0,1
"408",50,4,6,24,3,6,4
"409",-10,16,-10,0,-10,0,1
"410",16,0,-50,0,-50,0,3
"411",7,42,-10,52,-10,0,1
"412",12,16,16,7,24,0,4
"413",1,7,-15,0,-15,0,1
"414",6,7,-15,0,-15,0,1
"415",4,8,-15,0,-15,0,1
"416",7,8,-15,0,-15,0,1
"417",2,16,-15,0,-15,0,1
"418",8,16,-10,52,-10,0,1
"419",8,7,16,0,-50,0,2
"420",4,7,-15,0,-15,0,1
"421",16,8,52,0,-50,0,2
"422",8,1,16,0,-50,0,2
"423",2,1,16,24,24,12,4
"424",2,3,-15,0,-15,0,1
"425",8,6,24,0,-50,0,2
"426",42,12,3,16,-15,0,1
"427",16,16,2,52,-15,0,1
"428",2,3,-15,0,-15,0,1
"429",7,16,7,6,12,3,4
"430",3,4,52,16,6,7,4
"431",6,1,24,50,2,8,4
"432",1,2,7,8,-15,0,1
"433",-10,6,-10,0,-10,0,1
"434",8,16,50,24,1,3,4
"435",8,0,-50,0,-50,0,3
"436",-50,0,-50,0,-50,0,3
"437",3,1,2,24,24,2,4
"438",-15,0,-15,0,-15,0,1
"439",3,7,-10,8,-10,0,1
"440",-15,0,-15,0,-15,0,1
"441",3,6,-10,40,-10,0,1
"442",6,6,50,8,-50,0,2
"443",1,3,-50,24,-50,0,3
"444",2,1,52,8,-50,0,2
"445",6,12,24,52,-15,0,4
"446",16,3,1,16,1,24,4
"447",3,12,24,12,7,1,4
"448",24,4,16,0,-50,0,2
"449",16,3,40,0,-50,0,2
"450",24,7,4,16,7,24,4
"451",3,42,12,6,24,7,4
"452",24,2,52,8,-50,0,2
"453",50,1,16,4,-50,0,2
"454",-50,0,-50,0,-50,0,3
"455",8,7,1,7,24,8,4
"456",-50,0,-50,0,-50,0,3
"457",2,3,24,3,2,0,4
"458",4,8,16,12,-50,0,2
"459",6,12,52,24,16,6,4
"460",16,8,2,4,-50,3,2
"461",8,24,24,3,3,1,4
"462",2,24,6,2,-50,0,2
"463",8,16,8,6,-50,0,2
"464",-50,0,-50,0,-50,0,3
"465",6,8,24,6,1,0,4
"466",8,7,8,0,-50,0,2
"467",1,1,52,16,-50,0,2
"468",-50,0,-50,0,-50,0,3
"469",8,6,2,16,52,24,4
"470",12,16,-10,7,-10,0,1
"471",-50,7,-50,0,-50,0,3
"472",-10,0,-10,0,-10,0,1
"473",7,3,8,12,-50,1,2
"474",12,2,7,24,3,7,4
"475",-50,1,-50,0,-50,0,3
"476",16,24,-10,8,-10,0,1
"477",16,8,8,42,-50,2,2
"478",7,4,16,24,2,6,4
"479",-50,7,-50,0,-50,0,3
"480",7,16,-10,16,-10,0,1
"481",2,1,8,16,-50,3,2
"482",16,12,3,0,-15,0,1
"483",16,12,16,16,-50,0,2
"484",8,12,16,3,-50,0,2
"485",4,12,-15,0,-15,0,1
"486",12,6,6,7,-10,8,1
"487",8,7,24,24,-50,0,2
"488",-10,0,-10,0,-10,0,1
"489",16,8,8,8,-50,0,2
"490",-50,0,-50,0,-50,0,3
"491",12,6,6,16,16,1,4
"492",-50,0,-50,0,-50,0,3
"493",8,7,12,40,-10,3,4
"494",8,12,-10,7,-10,0,1
"495",8,7,4,6,42,16,4
"496",-50,0,-50,0,-50,0,3
"497",24,12,1,6,-10,52,4
"498",24,3,40,0,-50,0,2
"499",16,12,7,16,-10,6,1
"500",4,8,1,8,-15,0,1
"501",-15,0,-15,0,-15,0,1
"502",8,8,24,40,-15,0,4
"503",24,8,7,16,-50,0,2
"504",8,12,42,16,16,0,4
"505",-50,0,-50,0,-50,0,3
"506",6,24,16,2,52,0,4
"507",-50,0,-50,0,-50,0,3
"508",7,7,50,52,-15,0,4
"509",6,16,42,12,7,0,4
"510",4,40,-10,42,-10,0,1
"511",24,8,7,0,-50,0,2
"512",6,7,40,4,50,52,4
"513",7,3,12,0,-50,0,2
"514",3,4,8,7,-15,0,1
"515",2,24,16,7,24,52,4
"516",3,16,6,16,-15,0,1
"517",-15,0,-15,0,-15,0,1
"518",6,7,50,24,24,0,4
"519",-50,0,-50,0,-50,0,3
"520",16,16,50,52,-15,0,4
"521",-50,0,-50,0,-50,0,3
"522",2,0,-50,0,-50,0,3
"523",8,6,1,6,42,52,4
"524",7,12,42,6,6,0,4
"525",16,12,2,6,7,7,4
"526",7,3,1,6,-10,24,1
"527",6,8,-50,0,-50,0,3
"528",16,2,40,0,-50,0,2
"529",4,1,6,12,24,16,4
"530",12,1,16,40,8,8,4
"531",-50,0,-50,0,-50,0,3
"532",24,2,42,0,-50,0,2
"533",-50,0,-50,0,-50,0,3
"534",3,8,24,24,-15,0,1
